join_day,first_id,last_id
2024-10-01,36776050,36779650
2024-10-02,36779651,36784450
2024-10-03,36784451,36789250
2024-10-04,36789251,36795250
2024-10-05,36795251,36801250
2024-10-06,36801251,36806050
2024-10-07,36806051,36810850
2024-10-08,36810851,36814450
2024-10-09,36814451,36819250
2024-10-10,36819251,36824050
2024-10-11,36824051,36828850
2024-10-12,36828851,36834850
2024-10-13,36834851,36840850
2024-10-14,36840851,36845650
2024-10-15,36845651,36850450
2024-10-16,36850451,36855250
2024-10-17,36855251,36860050
2024-10-18,36860051,36866050
2024-10-19,36866051,36872050
2024-10-20,36872051,36878050
2024-10-21,36878051,36881650
2024-10-22,36881651,36886450
2024-10-23,36886451,36891250
2024-10-24,36891251,36896050
2024-10-25,36896051,36900850
2024-10-26,36900851,36906850
2024-10-27,36906851,36912850
2024-10-28,36912851,36916450
2024-10-29,36916451,36921250
2024-10-30,36921251,36924850
2024-10-31,36924851,36929650
2024-11-01,36929651,36934450
2024-11-02,36934451,36939250
2024-11-03,36939251,36944050
2024-11-04,36944051,36948850
2024-11-05,36948851,36952450
2024-11-06,36952451,36957250
2024-11-07,36957251,36960850
2024-11-08,36960851,36965650
2024-11-09,36965651,36971650
2024-11-10,36971651,36976450
2024-11-11,36976451,36981250
2024-11-12,36981251,36984850
2024-11-13,36984851,36988450
2024-11-14,36988451,36993250
2024-11-15,36993251,36998050
2024-11-16,36998051,37004050
2024-11-17,37004051,37008850
2024-11-18,37008851,37013650
2024-11-19,37013651,37017250
2024-11-20,37017251,37020850
2024-11-21,37020851,37025650
2024-11-22,37025651,37030450
2024-11-23,37030451,37036450
2024-11-24,37036451,37041250
2024-11-25,37041251,37046050
2024-11-26,37046051,37049650
2024-11-27,37049651,37054450
2024-11-28,37054451,37058050
2024-11-29,37058051,37062850
2024-11-30,37062851,37068850
2024-12-01,37068851,37073650
2024-12-02,37073651,37078450
2024-12-03,37078451,37082050
2024-12-04,37082051,37085650
2024-12-05,37085651,37090450
2024-12-06,37090451,37095250
2024-12-07,37095251,37100050
2024-12-08,37100051,37104850
2024-12-09,37104851,37108450
2024-12-10,37108451,37113250
2024-12-11,37113251,37116850
2024-12-12,37116851,37121650
2024-12-13,37121651,37126450
2024-12-14,37126451,37132450
2024-12-15,37132451,37137250
2024-12-16,37137251,37142050
2024-12-17,37142051,37145650
2024-12-18,37145651,37150450
2024-12-19,37150451,37155250
2024-12-20,37155251,37160050
2024-12-21,37160051,37166050
2024-12-22,37166051,37170850
2024-12-23,37170851,37175650
